ATCCode,Name,ATC_length,upperBound
A,alimentary tract and metabolism,1,738
A01,stomatological preparations,3,45
A01A,stomatological preparations,4,45
A01AA,caries prophylactic agents,5,10
A01AA01,sodium fluoride,7,5
A01AA02,sodium monofluorophosphate,7,6
A01AA03,olaflur,7,7
A01AA04,stannous fluoride,7,8
A01AA30,combinations,7,9
A01AA51,sodium fluoride combinations,7,10
A01AB,antiinfectives and antiseptics for local oral treatment,5,32
A01AB02,hydrogen peroxide,7,12
A01AB03,chlorhexidine,7,13
A01AB04,amphotericin b,7,14
A01AB05,polynoxylin,7,15
A01AB06,domiphen,7,16
A01AB07,oxyquinoline,7,17
A01AB08,neomycin,7,18
A01AB09,miconazole,7,19
A01AB10,natamycin,7,20
A01AB11,various,7,21
A01AB12,hexetidine,7,22
A01AB13,tetracycline,7,23
A01AB14,benzoxonium chloride,7,24
A01AB15,tibezonium iodide,7,25
A01AB16,mepartricin,7,26
A01AB17,metronidazole,7,27
A01AB18,clotrimazole,7,28
A01AB19,sodium perborate,7,29
A01AB21,chlortetracycline,7,30
A01AB22,doxycycline,7,31
A01AB23,minocycline,7,32
A01AC,corticosteroids for local oral treatment,5,37
A01AC01,triamcinolone,7,34
A01AC02,dexamethasone,7,35
A01AC03,hydrocortisone,7,36
A01AC54,prednisolone combinations,7,37
A01AD,other agents for local oral treatment,5,45
A01AD01,epinephrine,7,39
A01AD02,benzydamine,7,40
A01AD05,acetylsalicylic acid,7,41
A01AD06,adrenalone,7,42
A01AD07,amlexanox,7,43
A01AD08,becaplermin,7,44
A01AD11,various,7,45
A02,drugs for acid related disorders,3,128
A02A,antacids,4,79
A02AA,magnesium compounds,5,54
A02AA01,magnesium carbonate,7,49
A02AA02,magnesium oxide,7,50
A02AA03,magnesium peroxide,7,51
A02AA04,magnesium hydroxide,7,52
A02AA05,magnesium silicate,7,53
A02AA10,combinations,7,54
A02AB,aluminium compounds,5,63
A02AB01,aluminium hydroxide,7,56
A02AB02,algeldrate,7,57
A02AB03,aluminium phosphate,7,58
A02AB04,dihydroxialumini sodium carbonate,7,59
A02AB05,aluminium acetoacetate,7,60
A02AB06,aloglutamol,7,61
A02AB07,aluminium glycinate,7,62
A02AB10,combinations,7,63
A02AC,calcium compounds,5,67
A02AC01,calcium carbonate,7,65
A02AC02,calcium silicate,7,66
A02AC10,combinations,7,67
A02AD,combinations and complexes of aluminium calcium and magnesium compounds,5,73
A02AD01,ordinary salt combinations,7,69
A02AD02,magaldrate,7,70
A02AD03,almagate,7,71
A02AD04,hydrotalcite,7,72
A02AD05,almasilate,7,73
A02AF,antacids with antiflatulents,5,76
A02AF01,magaldrate and antiflatulents,7,75
A02AF02,ordinary salt combinations and antiflatulents,7,76
A02AG,antacids with antispasmodics,5,77
A02AH,antacids with sodium bicarbonate,5,78
A02AX,antacids other combinations,5,79
A02B,drugs for peptic ulcer and gastrooesophageal reflux disease gord,4,127
A02BA,h2receptor antagonists,5,91
A02BA01,cimetidine,7,82
A02BA02,ranitidine,7,83
A02BA03,famotidine,7,84
A02BA04,nizatidine,7,85
A02BA05,niperotidine,7,86
A02BA06,roxatidine,7,87
A02BA07,ranitidine bismuth citrate,7,88
A02BA08,lafutidine,7,89
A02BA51,cimetidine combinations,7,90
A02BA53,famotidine combinations,7,91
A02BB,prostaglandins,5,94
A02BB01,misoprostol,7,93
A02BB02,enprostil,7,94
A02BC,proton pump inhibitors,5,101
A02BC01,omeprazole,7,96
A02BC02,pantoprazole,7,97
A02BC03,lansoprazole,7,98
A02BC04,rabeprazole,7,99
A02BC05,esomeprazole,7,100
A02BC06,dexlansoprazole,7,101
A02BD,combinations for eradication of helicobacter pylori,5,110
A02BD01,omeprazole amoxicillin and metronidazole,7,103
A02BD02,lansoprazole tetracycline and metronidazole,7,104
